,description,playlist_title,url,owner,n_tracks
0,"Os lançamentos dessa semana incluem L7NNON, Maiara & Maraisa, Major RD e Felipe Amorim, MC Don Juan e muito mais!",Novidades da Semana,https://open.spotify.com/playlist/37i9dQZF1DX34KNiFQJNVm,Spotify,99
1,Disfruta de esta experiencia relajante. / Aproveite essa experiência única e relaxe.,Soul.House.Relax,https://open.spotify.com/playlist/37i9dQZF1DWZeXxACCcUmL,Spotify,150
2,"não fumo não bebo só meto dança 👍  esse é o #MeuSpotify com Mc Livinho
",METE DANÇA,https://open.spotify.com/playlist/37i9dQZF1DX8vpLK1FoEw3,Spotify,50
3,"Coração na Geladeira 2 e os funks mais 🔑 do Brasil. Foto: Mc Kevin, MC Hariel",Funk Hits,https://open.spotify.com/playlist/37i9dQZF1DWTkIwO2HDifB,Spotify,50
4,Os grandes hits do momento estão aqui! Foto: MC Rogerinho,Hot Hits Brasil,https://open.spotify.com/playlist/37i9dQZF1DX03VbhoH7arm,Spotify,50
5,"Éxitos urbanos de Latinoamérica con Brray, Jhayco, Anuel AA, Chencho Corleone y Ryan Castro.",Hits Urbanos,https://open.spotify.com/playlist/37i9dQZF1DWVskFRGurTfg,Spotify,100
6,"As mais sofridas do sertanejo, entre novidades e hits. Foto: Hugo Henrique",Sofrência Sertaneja,https://open.spotify.com/playlist/37i9dQZF1DX9EleE9VYW2u,Spotify,70
7,"Eu quero funk pra rebolar! Foto: POCAH, Anitta, MC Caveirinha, MC Kevin o Chris, Steve Aoki",Funk Pop,https://open.spotify.com/playlist/37i9dQZF1DWW6EwN6CPxGO,Spotify,55
8,Aperte o play e dance com os maiores nomes da música eletrônica nacional. Foto: Mochakk,mint brasil,https://open.spotify.com/playlist/37i9dQZF1DXd14ByHZraz1,Spotify,50
9,Super mega hits! Foto: Shakira,Pop Up,https://open.spotify.com/playlist/37i9dQZF1DX6aTaZa0K6VA,Spotify,100
10,Éxitos del Trap Latino. Foto: Duki.,TRAPPERZ,https://open.spotify.com/playlist/37i9dQZF1DWUmxBdWX3Pp4,Spotify,100
